trigger	z	LumDist	t90	epeak	flux_1k_10M_obsv	flux_1k_10M_rest	flux_10k_10M_obsv	flux_10k_10M_rest	flue_1k_10M_obsv	flue_1k_10M_rest	flue_10k_10M_obsv	flue_10k_10M_rest	eiso_1k_10M_obsv	eiso_1k_10M_rest	eiso_10k_10M_obsv	eiso_10k_10M_rest
bn090926914	1.24	2.732165163e+28	55.552	83.532585	1.69314517324e-07	1.69001915635e-07	1.65998581772e-07	1.68304983522e-07	9.40576006639e-06	9.38839441733e-06	9.22155321458e-06	9.34967844462e-06	3.93885179977e+52	3.93157958386e+52	3.86171146399e+52	3.91536648914e+52
bn091127976	0.49	8.785331363e+27	8.704	37.542217	2.94411642206e-06	2.8978603432e-06	2.49993678827e-06	2.55397240805e-06	2.56255893376e-05	2.52229764272e-05	2.17594498051e-05	2.22297758396e-05	1.66806800083e+52	1.64186038064e+52	1.4164061344e+52	1.44702146183e+52
bn100615083	1.398	3.167790069e+28	37.376	88.238602	3.58437737697e-07	3.40987803297e-07	3.25573545311e-07	3.23468255132e-07	1.33969688841e-05	1.2744760136e-05	1.21686368295e-05	1.20899495038e-05	7.04498414197e+52	6.70201101667e+52	6.39904848887e+52	6.35766965409e+52
bn100728439	2.106	5.236889782e+28	10.24	111.19875	3.86428439547e-07	3.59959639426e-07	3.73012258398e-07	3.56442258198e-07	3.95702722096e-06	3.68598670773e-06	3.819645526e-06	3.64996872394e-06	4.39060449568e+52	4.08986567599e+52	4.23816968696e+52	4.04990114891e+52
bn100814160	1.44	3.285484673e+28	150.528	108.71049	1.72951114271e-07	1.53432467763e-07	1.69958598325e-07	1.52563683688e-07	2.6033985329e-05	2.30958825075e-05	2.55835278887e-05	2.29651061782e-05	1.44730340714e+53	1.28396590156e+53	1.42226119483e+53	1.27669567287e+53
bn100816026	0.804	1.601913484e+28	2.048	135.75494	2.14161821747e-06	2.10534592295e-06	2.11707436006e-06	2.09620857872e-06	4.38603410938e-06	4.31174845019e-06	4.3357682894e-06	4.29303516923e-06	7.84013335328e+51	7.70734608812e+51	7.75028208402e+51	7.67389568291e+51
bn100906576	1.727	4.108360097e+28	110.592	100.76165	3.49655505014e-07	3.07709178937e-07	3.30129079654e-07	2.99138704859e-07	3.86691016105e-05	3.4030173517e-05	3.65096351771e-05	3.30823476478e-05	3.00763973123e+53	2.64682906164e+53	2.83967883291e+53	2.57310821932e+53
bn110213220	1.46	3.341792221e+28	34.304	52.483986	5.05991147992e-07	4.67372479126e-07	4.58914397238e-07	4.44524247971e-07	1.73575203407e-05	1.60327455239e-05	1.57425994828e-05	1.52489598024e-05	9.90196363978e+52	9.14621789908e+52	8.98069796924e+52	8.69909080007e+52
bn111228657	0.716	1.389951903e+28	101.3776979	35.471912	2.2864696528e-07	2.41093675437e-07	1.53529246577e-07	1.72293214331e-07	2.31797029719e-05	2.4441521794e-05	1.55644415783e-05	1.74666894326e-05	3.27944228387e+52	3.45796320819e+52	2.20204236002e+52	2.47117057342e+52
bn120119170	1.728	4.111279377e+28	55.296	204.63831	8.78732348956e-07	8.40221247897e-07	8.46968986673e-07	8.28038040965e-07	4.85903839679e-05	4.64608741237e-05	4.6833997087e-05	4.57871915132e-05	3.78329153286e+53	3.61748595766e+53	3.64653765128e+53	3.56503241628e+53
bn120326056	1.798	4.316450958e+28	11.776	43.507812	3.88516429017e-07	3.71525196099e-07	3.54851643777e-07	3.6144634317e-07	4.57516946811e-06	4.37508070926e-06	4.17873295711e-06	4.25639213717e-06	3.82844983793e+52	3.66101783749e+52	3.49671626896e+52	3.56170058865e+52
bn120711115	1.405	3.187353164e+28	44.032	1218.6429	8.53530530159e-06	7.84797842476e-06	8.49128090004e-06	7.830760716e-06	0.00037582656304	0.000345562185999	0.00037388808059	0.000344804055847	1.99499875514e+54	1.83434647438e+54	1.98470871592e+54	1.8303220949e+54
bn120712571	4.1745	1.191400352e+29	22.528	169.3067	3.32740799057e-07	2.5073867465e-07	3.26796063341e-07	2.49852488249e-07	7.49598472115e-06	5.6486408625e-06	7.36206171495e-06	5.62867685526e-06	2.58395897137e+53	1.9471566146e+53	2.53779404892e+53	1.94027477352e+53
bn121128212	2.2	5.522986335e+28	17.344	66.430183	6.42214470787e-07	6.09020993944e-07	6.05348629054e-07	6.00002731344e-07	1.11385677813e-05	1.0562860119e-05	1.04991666223e-05	1.04064473724e-05	1.3342498882e+53	1.26528789064e+53	1.25765827053e+53	1.24655175744e+53
bn130925173	0.347	5.845057713e+27	215.552	85.286629	4.65362161013e-07	4.66244995168e-07	4.00151710824e-07	4.11591588028e-07	0.000100309744531	0.000100500041198	8.62535015714e-05	8.87193899827e-05	3.19714990813e+52	3.20321519099e+52	2.74913844029e+52	2.82773314656e+52
bn140206304	2.74	7.205717444e+28	27.264	124.78815	7.30559748975e-07	6.56989521884e-07	7.24946932103e-07	6.56500148568e-07	1.9917980996e-05	1.79121623246e-05	1.97649531568e-05	1.78988200505e-05	3.47486576206e+53	3.12493317464e+53	3.44816871887e+53	3.12260549839e+53
bn140213807	1.2076	2.644326117e+28	18.624	90.618431	1.40260530007e-06	1.35912937924e-06	1.29027782601e-06	1.30124564855e-06	2.61221211086e-05	2.5312425559e-05	2.40301342316e-05	2.42343989586e-05	1.03974764654e+53	1.00751905995e+53	9.56479583321e+52	9.64610001529e+52
