# Different H0. 1) Concordance H0=67.8 OmegaM = 0.308, 2) Concordance H0=65.0 OmegaM = 0.308, 3) Concordance H0=75.0 OmegaM = 0.308
trigger,name,number,z,t90,detector,LATburst,flux,flux_err_low,flux_err_up,fluence,fluence_err_low,fluence_err_up,DL1,DL2,DL3,eiso1,eiso1_err_low,eiso1_err_up,eiso1_err,eiso2,eiso2_err_low,eiso2_err_up,eiso2_err,eiso3,eiso3_err_low,eiso3_err_up,eiso3_err
bn131231198,131231A,66,0.642,31.232,L,Y,5.54758407497e-06,5.49963199581e-06,5.59553615413e-06,0.000173262145829,0.000171764506493,0.000174759785165,1.21693289454e+28,1.26935461923e+28,1.10010733667e+28,1.9636933125e+53,1.94671958558e+53,1.98066703942e+53,1.69737269214e+51,2.13651691518e+53,2.11804933959e+53,2.15498449077e+53,1.84675755885e+51,1.60476159407e+53,1.59089039285e+53,1.61863279529e+53,1.38712012198e+51
bn081121858,81121,8,2.512,41.984,G,N,5.0791292066e-07,4.72965070982e-07,5.42860770338e-07,2.1324216061e-05,1.98569655401e-05,2.27914665819e-05,6.48766609086e+28,6.767134784e+28,5.86485014614e+28,3.21148139062e+53,2.99050971552e+53,3.43245306572e+53,2.20971675099e+52,3.49412215755e+53,3.253702883e+53,3.7345414321e+53,2.40419274548e+52,2.62447397612e+53,2.44389238768e+53,2.80505556455e+53,1.80581588438e+52
bn081221681,81221,9,2.26,29.696,G,N,9.76519155077e-07,9.59644021574e-07,9.9339428858e-07,2.89987128292e-05,2.84975888647e-05,2.94998367937e-05,5.70675355658e+28,5.95258294056e+28,5.15890521515e+28,3.64040097061e+53,3.57749155192e+53,3.7033103893e+53,6.29094186871e+51,3.96079072136e+53,3.89234467824e+53,4.02923676448e+53,6.84460431237e+51,2.9749939196e+53,2.9235833361e+53,3.0264045031e+53,5.14105835018e+51
bn081222204,81222,10,2.77,18.88,G,N,7.18913321677e-07,6.76333627737e-07,7.61493015617e-07,1.35730835133e-05,1.27691788917e-05,1.43769881349e-05,7.30094502386e+28,7.61544727104e+28,6.60005430157e+28,2.41159953526e+53,2.26876566778e+53,2.55443340274e+53,1.42833867478e+52,2.62384312607e+53,2.46843852598e+53,2.77924772616e+53,1.55404600089e+52,1.9707977258e+53,1.85407160396e+53,2.08752384765e+53,1.16726121845e+52
bn090424592,90424,16,0.544,14.144,G,N,3.73773642115e-06,3.65310705282e-06,3.82236578948e-06,5.28665439408e-05,5.16695461551e-05,5.40635417265e-05,9.95948134147e+27,1.03885051531e+28,9.00337113269e+27,4.26792651097e+52,4.17129264383e+52,4.3645603781e+52,9.66338671384e+50,4.64354445034e+52,4.53840588801e+52,4.74868301266e+52,1.05138562323e+51,3.48781783159e+52,3.40884708922e+52,3.56678857395e+52,7.89707423674e+50
bn090618353,90618,19,0.54,112.384,G,N,2.8624804033e-06,2.82062852813e-06,2.90433227847e-06,0.000321696997644,0.000316993516505,0.000326400478783,9.87140176893e+27,1.02966313836e+28,8.92374719911e+27,2.5579603435e+53,2.52056080816e+53,2.59535987883e+53,3.7399535333e+51,2.7830850711e+53,2.74239402258e+53,2.82377611962e+53,4.06910485208e+51,2.09040612007e+53,2.0598426214e+53,2.12096961874e+53,3.05634986667e+51
bn090926914,090926B,22,1.24,55.552,G,N,1.69001915635e-07,1.58984130665e-07,1.79019700605e-07,9.38839441733e-06,8.83188642668e-06,9.94490240798e-06,2.73216516297e+28,2.84985843153e+28,2.46987730732e+28,3.93157958377e+52,3.6985306345e+52,4.16462853303e+52,2.33048949264e+51,4.27759580919e+52,4.02403634601e+52,4.53115527237e+52,2.5355946318e+51,3.21294974113e+52,3.02249841101e+52,3.40340107125e+52,1.90451330122e+51
bn091127976,91127,27,0.49,8.704,G,N,2.8978603432e-06,2.84895605265e-06,2.94676463375e-06,2.52229764272e-05,2.47973134823e-05,2.56486393721e-05,8.78533136349e+27,9.16377640684e+27,7.9419395526e+27,1.64186038082e+52,1.61415234537e+52,1.66956841626e+52,2.77080354446e+50,1.78635963857e+52,1.75621303368e+52,1.81650624346e+52,3.01466048883e+50,1.34175457297e+52,1.31911112308e+52,1.36439802286e+52,2.26434498939e+50
bn100615083,100615A,31,1.398,37.376,G,N,3.40987803297e-07,3.16561879359e-07,3.65413727235e-07,1.2744760136e-05,1.18318168029e-05,1.36577034691e-05,3.16779006909e+28,3.30424871822e+28,2.86368222245e+28,6.70201101702e+52,6.22192695023e+52,7.18209508381e+52,4.80084066786e+51,7.29185143751e+52,6.76951542767e+52,7.81418744735e+52,5.22336009837e+51,5.47699063528e+52,5.08465825456e+52,5.86932301601e+52,3.92332380722e+51
bn100728439,100728B,34,2.106,10.24,G,N,3.59959639426e-07,2.95838596373e-07,4.24080682479e-07,3.68598670773e-06,3.02938722687e-06,4.34258618859e-06,5.23688978168e+28,5.46247887996e+28,4.73414836264e+28,4.08986567549e+52,3.36132162684e+52,4.81840972414e+52,7.28544048648e+51,4.44981257555e+52,3.65714975317e+52,5.24247539794e+52,7.92662822388e+51,3.34230366786e+52,2.7469258146e+52,3.93768152112e+52,5.9537785326e+51
