# Different Cosmologies. 1) Concordance H0=67.8 OmegaM = 0.308, 2) Riess H0=67.8 OmegaM = 0.308, 3) Weyl Gravity H0=67.8 
trigger,name,number,z,t90,detector,LATburst,flux,flux_err_low,flux_err_up,fluence,fluence_err_low,fluence_err_up,DL1,DL2,DL3,eiso1,eiso1_err_low,eiso1_err_up,eiso1_err,eiso2,eiso2_err_low,eiso2_err_up,eiso2_err,eiso3,eiso3_err_low,eiso3_err_up,eiso3_err
bn131108862,131108A,65,2.4,18.496,L,Y,2.3442647341e-06,2.30585636943e-06,2.38267309877e-06,4.33595205219e-05,4.2649119409e-05,4.40699216348e-05,6.13884638344e+28,5.43979350198e+28,7.94428556887e+28,6.0393326263e+53,5.94038437763e+53,6.13828087497e+53,9.89482486703e+51,4.74220414571e+53,4.66450801203e+53,4.81990027938e+53,7.76961336773e+51,1.01140503717e+54,9.94834206697e+53,1.02797586764e+54,1.65708304736e+52
bn131231198,131231A,66,0.642,31.232,L,Y,5.54758407497e-06,5.49963199581e-06,5.59553615413e-06,0.000173262145829,0.000171764506493,0.000174759785165,1.21693289454e+28,1.22692313213e+28,1.23366029987e+28,1.9636933125e+53,1.94671958558e+53,1.98066703942e+53,1.69737269214e+51,1.99606697494e+53,1.9788134173e+53,2.01332053257e+53,1.72535576374e+51,2.01804840054e+53,2.00060484037e+53,2.03549196072e+53,1.74435601766e+51
bn081121858,81121,8,2.512,41.984,G,N,5.0791292066e-07,4.72965070982e-07,5.42860770338e-07,2.1324216061e-05,1.98569655401e-05,2.27914665819e-05,6.48766609086e+28,5.6877404972e+28,8.53248625081e+28,3.21148139062e+53,2.99050971552e+53,3.43245306572e+53,2.20971675099e+52,2.46835703333e+53,2.29851734814e+53,2.63819671853e+53,1.69839685197e+52,5.55494323451e+53,5.17272550932e+53,5.9371609597e+53,3.8221772519e+52
bn081221681,81221,9,2.26,29.696,G,N,9.76519155077e-07,9.59644021574e-07,9.9339428858e-07,2.89987128292e-05,2.84975888647e-05,2.94998367937e-05,5.70675355658e+28,5.12296801888e+28,7.23596368381e+28,3.64040097061e+53,3.57749155192e+53,3.7033103893e+53,6.29094186871e+51,2.93369036566e+53,2.8829935449e+53,2.98438718642e+53,5.06968207627e+51,5.85280078775e+53,5.75165910083e+53,5.95394247468e+53,1.01141686924e+52
bn081222204,81222,10,2.77,18.88,G,N,7.18913321677e-07,6.76333627737e-07,7.61493015617e-07,1.35730835133e-05,1.27691788917e-05,1.43769881349e-05,7.30094502386e+28,6.24022681328e+28,9.96026967906e+28,2.41159953526e+53,2.26876566778e+53,2.55443340274e+53,1.42833867478e+52,1.76176422003e+53,1.65741870434e+53,1.86610973571e+53,1.04345515685e+52,4.48837598172e+53,4.22253910011e+53,4.75421286334e+53,2.65836881618e+52
bn090424592,90424,16,0.544,14.144,G,N,3.73773642115e-06,3.65310705282e-06,3.82236578948e-06,5.28665439408e-05,5.16695461551e-05,5.40635417265e-05,9.95948134147e+27,1.00895251984e+28,1.00112578953e+28,4.26792651097e+52,4.17129264383e+52,4.3645603781e+52,9.66338671384e+50,4.38010928817e+52,4.28093539239e+52,4.47928318396e+52,9.91738957823e+50,4.31241736783e+52,4.21477614419e+52,4.41005859148e+52,9.76412236475e+50
bn090618353,90618,19,0.54,112.384,G,N,2.8624804033e-06,2.82062852813e-06,2.90433227847e-06,0.000321696997644,0.000316993516505,0.000326400478783,9.87140176893e+27,1.00020815882e+28,9.91962532336e+27,2.5579603435e+53,2.52056080816e+53,2.59535987883e+53,3.7399535333e+51,2.62613432706e+53,2.58773803065e+53,2.66453062347e+53,3.83962964101e+51,2.58301357215e+53,2.54524773751e+53,2.6207794068e+53,3.77658346436e+51
bn090926914,090926B,22,1.24,55.552,G,N,1.69001915635e-07,1.58984130665e-07,1.79019700605e-07,9.38839441733e-06,8.83188642668e-06,9.94490240798e-06,2.73216516297e+28,2.65492250406e+28,2.98093107962e+28,3.93157958377e+52,3.6985306345e+52,4.16462853303e+52,2.33048949264e+51,3.71241799993e+52,3.49236010827e+52,3.93247589159e+52,2.20057891664e+51,4.68012057847e+52,4.40270099176e+52,4.95754016518e+52,2.77419586709e+51
bn091127976,91127,27,0.49,8.704,G,N,2.8978603432e-06,2.84895605265e-06,2.94676463375e-06,2.52229764272e-05,2.47973134823e-05,2.56486393721e-05,8.78533136349e+27,8.92024472213e+27,8.79605352597e+27,1.64186038082e+52,1.61415234537e+52,1.66956841626e+52,2.77080354446e+50,1.69267456362e+52,1.66410898804e+52,1.72124013921e+52,2.8565575583e+50,1.6458704826e+52,1.61809477267e+52,1.67364619252e+52,2.77757099213e+50
bn100615083,100615A,31,1.398,37.376,G,N,3.40987803297e-07,3.16561879359e-07,3.65413727235e-07,1.2744760136e-05,1.18318168029e-05,1.36577034691e-05,3.16779006909e+28,3.04534321333e+28,3.53545278056e+28,6.70201101702e+52,6.22192695023e+52,7.18209508381e+52,4.80084066786e+51,6.19390930395e+52,5.75022200466e+52,6.63759660323e+52,4.43687299288e+51,8.34799987405e+52,7.75000895477e+52,8.94599079332e+52,5.97990919275e+51
