trigger,name,number,z,t90,detector,LATburst,flux,flux_ci_lo,flux_ci_up,fluence,fluence_ci_lo,fluence_ci_up,DL1,DL2,DL3,eiso1,eiso1_ci_lo,eiso1_ci_up,eiso1_err,eiso2,eiso2_ci_lo,eiso2_ci_up,eiso2_err,eiso3,eiso3_ci_lo,eiso3_ci_up,eiso3_err
bn131108862,GRB131108A,65,2.4,18.496,L,Y,2.3442647341e-06,2.3058563694326003e-06,2.3826730987674e-06,4.33595205219e-05,4.2649119409012e-05,4.4069921634788e-05,6.138846383442763e+28,6.4032889968833755e+28,5.549517130632258e+28,6.0393326263039965e+53,5.940384377633668e+53,6.138280874974325e+53,9.894824867032844e+51,6.570851074532371e+53,6.463194443190901e+53,6.6785077058738415e+53,1.0765663134147033e+52,4.935439251537645e+53,4.854577159552274e+53,5.016301343523016e+53,8.086209198537119e+51
bn131231198,GRB131231A,66,0.642,31.232,L,Y,5.54758407497e-06,5.4996319958128e-06,5.5955361541272e-06,0.00017326214582900006,0.00017176450649276004,0.00017475978516524003,1.2169328945422757e+28,1.2693546192302505e+28,1.100107336666217e+28,1.9636933124998444e+53,1.9467195855784792e+53,1.9806670394212092e+53,1.6973726921365225e+51,2.1365169151791205e+53,2.118049339590669e+53,2.154984490767572e+53,1.8467575588451653e+51,1.6047615940678722e+53,1.5908903928481017e+53,1.6186327952876424e+53,1.3871201219770545e+51
bn081221681,GRB081221,9,2.26,29.695999999999998,G,N,9.76519155077e-07,9.596440215741998e-07,9.933942885798001e-07,2.89987128292e-05,2.8497588864701e-05,2.9499836793699e-05,5.706753556584883e+28,5.952582940560846e+28,5.158905215152734e+28,3.640400970611513e+53,3.5774915519244226e+53,3.7033103892986037e+53,6.290941868709056e+51,3.960790721359958e+53,3.892344678236274e+53,4.029236764483642e+53,6.844604312368466e+51,2.9749939195992585e+53,2.923583336097469e+53,3.026404503101048e+53,5.1410583501789455e+51
bn081222204,GRB081222,10,2.77,18.88,G,N,7.18913321677e-07,6.763336277370999e-07,7.614930156169e-07,1.35730835133e-05,1.2769178891714999e-05,1.4376988134885001e-05,7.300945023861553e+28,7.6154472710432825e+28,6.600054301570843e+28,2.411599535257268e+53,2.268765667779339e+53,2.5544334027351976e+53,1.4283386747792918e+52,2.6238431260714852e+53,2.4684385259821966e+53,2.779247726160774e+53,1.554046000892886e+52,1.970797725804804e+53,1.8540716039599604e+53,2.0875238476496473e+53,1.1672612184484346e+52
bn090424592,GRB090424,16,0.544,14.144,G,N,3.73773642115e-06,3.6531070528161e-06,3.8223657894839e-06,5.28665439408e-05,5.166954615508e-05,5.406354172652e-05,9.959481341468048e+27,1.0388505153100516e+28,9.003371132687115e+27,4.267926510965561e+52,4.171292643827164e+52,4.364560378103957e+52,9.663386713839675e+50,4.643544450335366e+52,4.538405888011942e+52,4.74868301265879e+52,1.0513856232342397e+51,3.4878178315852313e+52,3.40884708921786e+52,3.5667885739526034e+52,7.897074236737152e+50
bn090618353,GRB090618,19,0.54,112.384,G,N,2.8624804033e-06,2.8206285281310007e-06,2.904332278469e-06,0.000321696997644,0.00031699351650501005,0.00032640047878299,9.871401768925711e+27,1.0296631383587128e+28,8.923747199108843e+27,2.557960343496545e+53,2.5205608081635027e+53,2.595359878829587e+53,3.7399535333042077e+51,2.783085071100275e+53,2.742394022579484e+53,2.8237761196210655e+53,4.069104852079107e+51,2.090406120070873e+53,2.0598426214041455e+53,2.1209696187376e+53,3.0563498666727336e+51
bn090926914,GRB090926B,22,1.24,55.552,G,N,1.6900191563499998e-07,1.589841306651e-07,1.7901970060489994e-07,9.38839441733e-06,8.831886426682001e-06,9.944902407978e-06,2.7321651629699978e+28,2.8498584315287052e+28,2.469877307324878e+28,3.9315795837679207e+52,3.698530634503854e+52,4.164628533031987e+52,2.3304894926406644e+51,4.277595809194728e+52,4.024036346014839e+52,4.531155272374617e+52,2.5355946317988893e+51,3.2129497411284843e+52,3.022498411006701e+52,3.4034010712502677e+52,1.9045133012178334e+51
bn091127976,GRB091127,27,0.49,8.704,G,N,2.8978603432e-06,2.848956052652e-06,2.946764633748e-06,2.52229764272e-05,2.4797313482270002e-05,2.5648639372129997e-05,8.785331363494429e+27,9.163776406844957e+27,7.941939552598962e+27,1.6418603808183087e+52,1.6141523453737152e+52,1.6695684162629025e+52,2.770803544459356e+50,1.786359638570611e+52,1.756213033682297e+52,1.8165062434589248e+52,3.014660488831402e+50,1.3417545729708142e+52,1.3191111230769252e+52,1.3643980228647032e+52,2.2643449893889015e+50
bn100615083,GRB100615A,31,1.3980000000000001,37.376,G,N,3.40987803297e-07,3.165618793594001e-07,3.6541372723459997e-07,1.2744760136e-05,1.1831816802908e-05,1.3657703469091999e-05,3.167790069086771e+28,3.304248718216663e+28,2.8636822224544404e+28,6.702011017019936e+52,6.221926950234366e+52,7.182095083805504e+52,4.8008406678557015e+51,7.29185143750957e+52,6.769515427672274e+52,7.814187447346865e+52,5.22336009837296e+51,5.476990635284961e+52,5.084658254562726e+52,5.869323016007196e+52,3.9233238072223506e+51
bn100814160,GRB100814A,35,1.44,150.528,G,N,1.5343246776300002e-07,1.3544406524960002e-07,1.7142087027640002e-07,2.30958825075e-05,2.038812425396e-05,2.5803640761039998e-05,3.2854846726455715e+28,3.427013243159534e+28,2.970078144071597e+28,1.283965901281444e+53,1.1334339064408155e+53,1.4344978961220724e+53,1.5053199484062847e+52,1.3969670564844003e+53,1.2331868209428158e+53,1.5607472920259849e+53,1.6378023554158453e+52,1.0492774779816168e+53,9.262603232859377e+52,1.172294632677296e+53,1.2301715469567912e+52
