name	z	m	m_err	s	s_err	c	c_err	mag	mag_err	ref	cut
03D1au	0.5043	22.98	0.05	1.08	0.02	0.03	0.03	42.3	0.14	2	
03D3cc	0.4627	22.62	0.19	1.05	0.06	-0.05	0.09	42.09	0.1	2	p
b010	0.591	23.4	0.08	1.24	0.09	-0.14	0.08	43.31	0.27	3	
b013	0.426	22.68	0.05	1.01	0.04	0.08	0.03	41.81	0.2	3	
b016	0.329	22.5	0.21	1.14	0.11	0.26	0.09	41.38	0.25	3	
d033	0.531	23.23	0.06	1.15	0.12	-0.15	0.08	43.06	0.3	3	
d058	0.583	23.59	0.1	1.09	0.21	0.18	0.15	42.6	0.46	3	
d083	0.333	21.03	0.04	1.18	0.04	-0.02	0.03	40.6	0.2	3	o
d084	0.519	23.64	0.09	1.09	0.17	-0.01	0.14	43.09	0.39	3	
d085	0.401	22.48	0.07	1.02	0.06	0.08	0.08	41.62	0.26	3	
d087	0.34	21.91	0.18	0.99	0.07	0.04	0.08	41.1	0.22	3	
d089	0.436	22.5	0.05	1.04	0.04	0.0	0.05	41.84	0.22	3	
d093	0.363	21.89	0.07	1.04	0.03	-0.07	0.06	41.4	0.21	3	
d097	0.436	22.5	0.05	1.26	0.06	0.09	0.05	41.92	0.21	3	
d117	0.309	22.36	0.07	0.83	0.02	0.07	0.06	41.29	0.21	3	
d149	0.342	22.19	0.06	1.01	0.03	0.07	0.04	41.33	0.2	3	
e029	0.332	22.52	0.06	0.84	0.06	0.17	0.06	41.24	0.22	3	
e108	0.469	22.55	0.05	1.1	0.05	-0.05	0.05	42.09	0.22	3	
e132	0.239	21.7	0.05	0.92	0.02	0.19	0.04	40.47	0.19	3	
e136	0.352	22.8	0.06	0.82	0.05	0.19	0.06	41.44	0.22	3	
e138	0.612	24.05	0.19	1.37	0.19	0.68	0.31	42.26	0.82	3	
e140	0.631	23.39	0.07	0.99	0.1	0.05	0.07	42.57	0.27	3	
e147	0.645	23.38	0.07	0.96	0.04	-0.09	0.06	42.83	0.23	3	
e148	0.429	22.65	0.05	0.87	0.03	-0.02	0.05	41.83	0.22	3	
e149	0.497	22.9	0.07	0.92	0.03	0.01	0.07	42.09	0.23	3	
f011	0.539	23.29	0.07	0.88	0.05	0.03	0.07	42.36	0.24	3	
f041	0.561	23.09	0.06	1.07	0.07	-0.05	0.07	42.6	0.25	3	
f076	0.41	22.37	0.05	0.9	0.03	0.09	0.06	41.35	0.22	3	
f096	0.412	23.06	0.11	1.21	0.1	0.37	0.12	41.78	0.3	3	
f216	0.599	23.75	0.09	0.71	0.06	-0.07	0.09	42.85	0.29	3	
f231	0.619	23.45	0.08	1.01	0.07	-0.07	0.07	42.92	0.25	3	
f235	0.422	22.45	0.07	0.88	0.05	-0.03	0.08	41.67	0.24	3	
f244	0.54	23.3	0.06	0.94	0.11	-0.02	0.06	42.57	0.25	3	
f308	0.401	23.07	0.08	0.88	0.14	0.07	0.1	42.07	0.31	3	
g005	0.218	21.32	0.07	1.17	0.06	0.23	0.05	40.32	0.2	3	
g050	0.633	23.18	0.09	0.96	0.07	0.09	0.09	42.23	0.3	3	
g052	0.383	22.33	0.08	0.78	0.03	-0.1	0.08	41.59	0.23	3	
g055	0.302	23.28	0.14	1.23	0.13	0.57	0.11	41.57	0.26	3	
g097	0.34	22.27	0.06	1.0	0.03	0.19	0.04	41.14	0.2	3	
g120	0.51	22.79	0.07	0.96	0.06	0.06	0.08	41.92	0.26	3	
g133	0.421	23.17	0.12	1.15	0.11	0.3	0.06	41.97	0.23	3	
g142	0.399	23.46	0.11	0.75	0.09	0.32	0.11	41.71	0.28	3	
g160	0.493	22.92	0.06	1.06	0.04	0.08	0.07	42.12	0.23	3	
g240	0.687	23.4	0.09	0.92	0.07	-0.1	0.08	42.83	0.28	3	
h283	0.502	23.45	0.13	0.65	0.1	0.18	0.16	41.9	0.31	3	
h300	0.687	23.52	0.08	1.04	0.05	0.02	0.06	42.82	0.25	3	
h319	0.495	22.9	0.06	1.09	0.08	0.05	0.06	42.2	0.25	3	
h323	0.603	23.48	0.07	0.92	0.05	0.02	0.08	42.64	0.27	3	
h342	0.421	22.44	0.08	1.15	0.11	-0.05	0.09	42.04	0.28	3	
h359	0.348	22.65	0.05	0.95	0.03	0.15	0.04	41.55	0.2	3	
h363	0.213	22.01	0.09	0.88	0.03	0.36	0.07	40.34	0.2	3	
h364	0.344	21.71	0.05	0.9	0.02	-0.08	0.04	41.07	0.2	3	
k396	0.271	21.84	0.07	0.81	0.06	0.15	0.06	40.55	0.21	3	
k411	0.564	22.89	0.13	0.93	0.16	-0.12	0.1	42.38	0.4	3	
k425	0.274	21.94	0.09	0.91	0.04	0.15	0.07	40.77	0.22	3	
k430	0.582	23.81	0.07	0.94	0.06	-0.08	0.08	43.21	0.28	3	
k441	0.68	23.73	0.07	1.13	0.1	0.16	0.06	42.83	0.25	3	
k448	0.401	23.34	0.07	0.97	0.06	0.29	0.07	41.93	0.24	3	
k485	0.416	23.93	0.11	0.92	0.12	0.61	0.11	41.75	0.3	3	
m027	0.286	22.52	0.12	1.1	0.19	0.24	0.1	41.39	0.33	3	
m062	0.314	21.99	0.11	0.83	0.13	0.03	0.08	41.02	0.29	3	
m138	0.581	23.28	0.09	1.2	0.11	-0.34	0.09	43.6	0.38	3	
m158	0.463	23.09	0.07	1.0	0.05	0.19	0.08	41.95	0.27	3	
m193	0.341	21.66	0.08	0.98	0.03	-0.07	0.05	41.09	0.21	3	
m226	0.671	23.64	0.09	1.07	0.15	0.37	0.14	42.19	0.33	3	
n256	0.631	23.41	0.07	1.07	0.08	-0.06	0.05	42.93	0.23	3	
n258	0.522	23.29	0.07	0.91	0.05	-0.08	0.11	42.67	0.3	3	
n263	0.368	22.04	0.05	0.97	0.03	-0.05	0.04	41.41	0.2	3	
n278	0.309	21.87	0.05	0.89	0.04	0.08	0.05	40.85	0.21	3	
n285	0.528	23.27	0.09	1.14	0.22	0.11	0.1	42.48	0.31	3	
n326	0.268	22.11	0.06	0.66	0.02	0.09	0.05	40.77	0.2	3	
n404	0.216	21.85	0.07	0.92	0.02	0.19	0.06	40.61	0.2	3	o
p454	0.695	23.93	0.11	0.71	0.16	-0.02	0.15	42.92	0.41	3	
p455	0.284	21.66	0.06	0.85	0.02	-0.01	0.05	40.79	0.2	3	
p524	0.508	22.91	0.06	1.02	0.03	0.04	0.04	42.14	0.21	3	
p528	0.781	24.12	0.11	0.96	0.16	-0.0	0.16	43.38	0.34	3	
p534	0.613	23.4	0.11	0.63	0.32	-0.08	0.18	42.43	0.33	3	
b020	0.425	22.47	0.18	0.84	0.11	0.07	0.18	41.41	0.29	3	d
d086	0.205	20.94	0.03	0.94	0.02	0.0	0.0	40.16	0.05	3	c
d099	0.211	20.88	0.1	0.92	0.04	-0.06	0.06	40.22	0.08	3	p
e020	0.159	20.65	0.03	1.03	0.06	0.0	0.0	39.99	0.09	3	c
k429	0.181	20.34	0.03	0.95	0.04	0.0	0.0	39.58	0.07	3	c
m026	0.653	22.9	0.25	1.38	0.23	-0.08	0.18	42.85	0.46	3	p
m032	0.155	20.21	0.14	0.96	0.06	0.0	0.0	39.46	0.09	3	p,c,d
m034	0.562	22.9	0.15	1.25	0.11	-0.3	0.12	43.18	0.25	3	p
m039	0.249	22.01	0.24	1.01	0.18	0.3	0.14	40.63	0.19	3	p
m057	0.184	21.01	0.1	1.35	0.18	0.0	0.0	40.75	0.32	3	p,c,d
h311	0.75									3	f
m022	0.24									3	f
m043	0.266									3	f
m075	0.102									3	f
n346	0.266									3	f
n368	0.344									3	f
n395	0.462									3	f
p425	0.453									3	f
p429	0.548									3	f
